Parameter,Conservative,Balanced,Aggressive
date,2025-03-03,2025-03-03,2025-03-03
forecast_energy_kWh,266.31425,266.31425,266.31425
relevant_error_quantile_kWh,-1.8047970125000141,12.226911475000001,27.118969416666687
critical_fractile_q_star,0.25,0.5,0.75
raw_commitment_kWh,264.5094529875,278.541161475,293.4332194166667
committed_energy_kWh,264.5094529875,278.541161475,293.4332194166667
commitment_as_pct_forecast,99.32230550468104,104.59115930709679,110.1830710961455
actual_energy_kWh_ex_post,301.075138,301.075138,301.075138
shortfall_kWh_ex_post,0.0,0.0,0.0
surplus_kWh_ex_post,36.565685012499955,22.533976524999957,7.641918583333279
imbalance_cost_KSh,182.82842506249978,225.33976524999957,114.62877874999919
illustrative_energy_revenue_KSh,3967.6417948125004,4178.117422125,4401.498291250001
net_economic_outcome_KSh,3784.8133697500007,3952.7776568750005,4286.869512500001
capacity_cap_used,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY,PROVISIONAL_SOFT_CAP_NOT_TRUE_RATED_CAPACITY
